part 1: 8108
region: 1
0,0
1,0
1,1
region: 2
3,0
3,1
region: 3
5,0
5,1
region: 4
8,0
9,0
10,0
11,0
10,1
9,1
10,1
9,2
8,1
9,1
10,1
9,2
8,2
9,2
region: 5
13,0
14,0
15,0
14,1
14,2
15,2
15,3
16,3
16,4
17,4
18,4
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
27,6
26,6
27,6
25,6
26,6
27,6
22,6
22,7
20,6
19,6
20,6
19,7
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
27,6
26,6
27,6
25,6
26,6
27,6
22,6
22,7
20,6
19,6
20,6
19,7
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
27,6
26,6
27,6
25,6
26,6
27,6
22,6
22,7
20,6
19,6
20,6
19,7
15,4
16,4
17,4
18,4
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
27,6
26,6
27,6
25,6
26,6
27,6
22,6
22,7
20,6
19,6
20,6
19,7
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
27,6
26,6
27,6
25,6
26,6
27,6
22,6
22,7
20,6
19,6
20,6
19,7
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
27,6
26,6
27,6
25,6
26,6
27,6
22,6
22,7
20,6
19,6
20,6
19,7
15,5
16,5
17,5
18,5
19,5
20,5
21,5
22,5
23,5
24,5
25,5
26,5
27,5
28,5
29,5
27,6
26,6
27,6
25,6
26,6
27,6
22,6
22,7
20,6
19,6
20,6
19,7
region: 6
17,0
18,0
18,1
19,1
19,2
region: 7
20,0
region: 8
22,0
23,0
24,0
25,0
25,1
25,2
26,2
27,2
28,2
28,3
29,3
29,4
29,5
28,4
29,4
29,5
28,5
29,5
24,1
25,1
25,2
26,2
27,2
28,2
28,3
29,3
29,4
29,5
28,4
29,4
29,5
28,5
29,5
24,2
25,2
26,2
27,2
28,2
28,3
29,3
29,4
29,5
28,4
29,4
29,5
28,5
29,5
24,3
24,4
24,5
25,5
26,5
27,5
28,5
29,5
27,6
26,6
27,6
25,6
26,6
27,6
23,1
24,1
25,1
25,2
26,2
27,2
28,2
28,3
29,3
29,4
29,5
28,4
29,4
29,5
28,5
29,5
24,2
25,2
26,2
27,2
28,2
28,3
29,3
29,4
29,5
28,4
29,4
29,5
28,5
29,5
24,3
24,4
24,5
25,5
26,5
27,5
28,5
29,5
27,6
26,6
27,6
25,6
26,6
27,6
23,2
24,2
25,2
26,2
27,2
28,2
28,3
29,3
29,4
29,5
28,4
29,4
29,5
28,5
29,5
24,3
24,4
24,5
25,5
26,5
27,5
28,5
29,5
27,6
26,6
27,6
25,6
26,6
27,6
22,1
23,1
24,1
25,1
25,2
26,2
27,2
28,2
28,3
29,3
29,4
29,5
28,4
29,4
29,5
28,5
29,5
24,2
25,2
26,2
27,2
28,2
28,3
29,3
29,4
29,5
28,4
29,4
29,5
28,5
29,5
24,3
24,4
24,5
25,5
26,5
27,5
28,5
29,5
27,6
26,6
27,6
25,6
26,6
27,6
23,2
24,2
25,2
26,2
27,2
28,2
28,3
29,3
29,4
29,5
28,4
29,4
29,5
28,5
29,5
24,3
24,4
24,5
25,5
26,5
27,5
28,5
29,5
27,6
26,6
27,6
25,6
26,6
27,6
22,2
23,2
24,2
25,2
26,2
27,2
28,2
28,3
29,3
29,4
29,5
28,4
29,4
29,5
28,5
29,5
24,3
24,4
24,5
25,5
26,5
27,5
28,5
29,5
27,6
26,6
27,6
25,6
26,6
27,6
22,3
region: 9
27,0
28,0
29,0
29,1
region: 10
32,0
32,1
33,1
34,1
35,1
36,1
33,2
33,3
33,4
33,5
33,6
34,6
34,7
35,7
region: 11
34,0
35,0
36,0
37,0
38,0
39,0
40,0
40,1
41,1
42,1
43,1
44,1
45,1
46,1
44,2
44,3
42,2
42,3
43,3
44,3
41,2
42,2
42,3
43,3
44,3
40,2
41,2
42,2
42,3
43,3
44,3
40,3
40,4
39,1
40,1
41,1
42,1
43,1
44,1
45,1
46,1
44,2
